config	kind	threshold	panel	relax	maxsuper	system	family	freq	n	nnz_a	factor_s	solve_s	nnz_l	nnz_u	nonidentity_pivots	pivot_fraction	max_pivot_displacement	factor_info	solve_info	discrepancy	residual	finite	repeats
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_large	spheroidal	0.17999999999999999	860	14554	0.00094915574999999996	0.000140011	9434	13199	510	0.59302325581395354	386	0	0	4.4710121298577946e-12	6.8830099011381337e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_large	spheroidal	0.40999999999999998	860	14554	0.00091934125000000004	0.00013790275000000001	9449	12682	506	0.58837209302325577	386	0	0	3.0563913910142379e-13	6.4036957870912695e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_large	spheroidal	0.67000000000000004	860	14554	0.00089816725000000004	0.00013589249999999999	9449	12352	498	0.57906976744186045	386	0	0	3.5637079940746149e-13	7.7472314538070426e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_large	spheroidal	1.05	860	14554	0.00086877099999999995	0.00013729424999999999	9449	12132	480	0.55813953488372092	386	0	0	3.2862953146049072e-13	5.5230785610238931e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_large	spheroidal	0.80000000000000004	860	14554	0.00086218125000000004	0.00014198125000000001	9449	12262	492	0.5720930232558139	386	0	0	5.9180847494729663e-13	1.0842840356853191e-22	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_large	spheroidal	0.10000000000000001	860	14554	0.00093129425000000002	0.00013954525000000001	9434	13199	517	0.60116279069767442	386	0	0	1.7439129294014083e-12	5.8004695382844191e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_fluid_solid	spheroidal	0.17999999999999999	860	14554	0.00090597374999999995	0.00014092225000000001	9418	12499	465	0.54069767441860461	176	0	0	4.4705586831334532e-13	5.4862337914537184e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_fluid_solid	spheroidal	0.40999999999999998	860	14554	0.00090369324999999999	0.00013713150000000001	9418	12499	481	0.55930232558139537	176	0	0	1.4780258967642921e-13	1.0079553265125436e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_fluid_solid	spheroidal	0.67000000000000004	860	14554	0.00089486225000000004	0.00013693399999999999	9418	12499	473	0.55000000000000004	176	0	0	8.3012929021741752e-14	3.4231769529227432e-24	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_fluid_solid	spheroidal	1.05	860	14554	0.00089186775	0.0001367835	9418	12499	472	0.5488372093023256	176	0	0	3.3864798764655726e-14	6.2555480546242189e-24	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_fluid_solid	spheroidal	0.10000000000000001	860	14554	0.00088694575000000002	0.0001366785	9418	12499	465	0.54069767441860461	176	0	0	1.7095213419160927e-12	2.1923330104856672e-22	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_fluid_solid	spheroidal	0.5	860	14554	0.00089512274999999997	0.00013686374999999999	9418	12499	478	0.55581395348837215	176	0	0	8.6332142907567725e-14	1.4388092406047169e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_max	spheroidal	0.17999999999999999	1610	27304	0.00158017025	0.00025009750000000002	17696	21667	697	0.4329192546583851	237	0	0	4.4215412586660816e-13	5.3158286319993277e-23	1	4
pivot_0p1	pivot	0.10000000000000001	16	1	128	spheroidal_max	spheroidal	0.40999999999999998	1610	27304	0.0016296512500000001	0.00024940150000000001	17696	21967	715	0.44409937888198758	237	0	0	1.1973262303940495e-13	1.2146311252661164e-23	1	4
